ood_name,model_name,pred,uncertainty,probs
TRAIN,Softmax,8,0.014396652,"[2.0877903e-06 4.2479931e-10 7.9697372e-08 1.9808404e-05 3.4894277e-03
 7.3708016e-08 1.6604057e-03 5.0948823e-09 9.9482793e-01 2.1912816e-09
 9.8206430e-09 2.7859021e-10]"
TRAIN,Softmax,1,0.042954776,"[1.5241872e-02 9.8054528e-01 1.4035183e-05 2.0375140e-07 2.6146580e-11
 7.3905035e-11 4.0942892e-03 3.0947254e-07 2.4822000e-06 2.0448780e-09
 6.6307410e-05 3.5215598e-05]"
TRAIN,Softmax,11,0.00024558452,"[4.0694078e-05 1.3439698e-08 9.5129977e-08 7.2785502e-09 3.3254059e-23
 6.5756214e-09 9.3067583e-06 2.7692670e-06 5.4301292e-09 5.6312187e-14
 3.0884181e-08 9.9994707e-01]"
TRAIN,Softmax,9,0.00040346448,"[2.3424057e-15 4.3213337e-21 9.7997683e-05 2.1449978e-16 8.4405753e-37
 1.5830393e-10 4.0741382e-10 3.0468367e-20 9.3849179e-20 9.9990201e-01
 4.2301138e-20 2.3137626e-32]"
TRAIN,Softmax,9,0.00018930435,"[1.07024108e-16 1.91078515e-19 1.14560435e-05 7.13360089e-13
 7.53927294e-35 2.83539794e-05 2.02972302e-07 7.05900466e-18
 1.81290259e-18 9.99959946e-01 4.60304967e-17 9.76237056e-31]"
TRAIN,Softmax,8,0.014045971,"[3.6937361e-06 5.3405640e-09 4.6960588e-07 4.3106324e-05 2.6513133e-03
 1.6484717e-07 2.2545394e-03 7.6661053e-08 9.9504650e-01 5.7295884e-09
 5.0275546e-08 2.1243296e-09]"
TRAIN,Softmax,4,0.009106703,"[2.0155321e-07 1.4848295e-13 4.1580436e-10 1.5273579e-07 9.9685490e-01
 1.0475320e-08 4.9130502e-04 7.4706513e-10 2.6535392e-03 1.9186219e-10
 1.2413625e-09 1.8663129e-12]"
TRAIN,Softmax,10,0.00041701892,"[7.5137577e-05 2.4232991e-10 1.1595771e-15 2.0905742e-05 1.2556905e-18
 8.1635167e-12 1.7183764e-10 8.4441616e-08 2.0553995e-14 6.8168020e-16
 9.9990392e-01 2.4371758e-11]"
TRAIN,Softmax,0,0.0066853184,"[9.9778903e-01 1.9337247e-03 2.2908484e-06 2.7090346e-08 2.4496324e-15
 1.3936592e-12 2.6816904e-04 6.2854659e-09 1.0325662e-06 9.2698060e-10
 8.6950791e-07 4.8402630e-06]"
TRAIN,Softmax,10,9.581896e-05,"[1.9449753e-05 2.0506840e-07 5.8066962e-18 2.5859865e-07 8.0279727e-20
 5.1972599e-15 1.5252619e-11 6.8244486e-09 6.9936766e-15 1.8744245e-17
 9.9998009e-01 2.2848804e-12]"
TRAIN,Softmax,10,8.201231e-06,"[1.2098656e-06 2.4272133e-08 2.0942606e-20 1.3182400e-07 1.2775070e-21
 3.7435150e-15 2.3759441e-12 3.5998124e-09 2.6697510e-16 2.2869988e-19
 9.9999869e-01 4.2932430e-13]"
TRAIN,Softmax,3,5.9546146e-05,"[2.7117667e-16 1.2595835e-24 4.9236490e-11 9.9998891e-01 4.7336726e-26
 1.3816964e-06 1.3066025e-14 4.8320221e-06 2.8823187e-13 9.0072141e-21
 4.8273059e-06 2.4169712e-15]"
TRAIN,Softmax,5,8.5711875e-08,"[2.4817761e-21 4.4056799e-23 6.1055814e-09 3.6458092e-09 8.7145626e-33
 1.0000000e+00 1.4471570e-10 7.4069106e-10 1.0432951e-17 3.8127509e-10
 2.0438928e-13 1.6438063e-20]"
TRAIN,Softmax,3,8.115287e-06,"[5.9570193e-17 1.3755186e-23 3.5538700e-10 9.9999869e-01 2.8590984e-28
 2.6890504e-07 2.2705569e-15 5.5935266e-07 2.5891568e-12 3.4726246e-21
 4.6101047e-07 7.9250224e-15]"
TRAIN,Softmax,11,0.0001062072,"[9.0361409e-06 9.2929312e-08 6.6673522e-08 1.1406494e-08 2.6777493e-22
 4.1473274e-09 2.9652890e-06 8.2455981e-06 7.9319715e-09 2.4031871e-14
 7.0146726e-08 9.9997950e-01]"
TRAIN,Softmax,0,0.22984472,"[7.5543767e-01 3.4368999e-04 3.7588572e-06 4.9409246e-06 8.5397024e-04
 7.5295131e-10 9.1617630e-04 1.2395396e-06 2.4239738e-01 4.3511935e-07
 2.2936025e-05 1.7792956e-05]"
TRAIN,Softmax,3,2.563985e-05,"[1.1441069e-14 3.9492081e-23 1.5197924e-09 9.9999547e-01 2.6874700e-24
 2.0904533e-06 1.3643854e-12 5.9194730e-07 2.2146161e-12 2.5713338e-19
 1.7603384e-06 1.7445546e-14]"
TRAIN,Softmax,2,0.07224541,"[8.2231821e-09 8.0617228e-11 9.5878351e-01 3.9621506e-07 9.0098516e-25
 1.4901375e-03 3.9515793e-02 8.5867856e-07 5.3396881e-10 2.0929257e-04
 8.4005086e-10 8.4131627e-13]"
TRAIN,Softmax,7,0.0024338937,"[6.2109557e-08 3.2986136e-08 1.2849760e-04 1.3101242e-05 2.3567385e-23
 9.6995078e-05 1.3705240e-04 9.9938416e-01 5.8680647e-09 1.4576090e-10
 2.8444315e-06 2.3726826e-04]"
TRAIN,Softmax,11,0.00017621521,"[3.5390698e-05 6.6253149e-11 2.9647936e-07 3.7108745e-08 8.6749677e-24
 1.2116436e-09 1.4250920e-08 2.4248870e-06 2.2992954e-09 1.6908235e-14
 1.3077379e-08 9.9996185e-01]"
TRAIN,Softmax,9,6.0546216e-07,"[3.4085135e-15 7.3294557e-15 8.3059291e-08 8.1765996e-15 9.5509743e-34
 1.1790063e-09 3.2867964e-10 2.3831104e-18 7.0741446e-17 9.9999988e-01
 4.2241642e-17 1.9154788e-29]"
TRAIN,Softmax,1,0.01589801,"[6.4377757e-03 9.9351150e-01 3.6221535e-09 2.3072264e-08 1.8098818e-12
 4.9479409e-13 2.1718533e-05 1.3301142e-08 7.3765409e-07 2.9669999e-11
 2.2141487e-05 6.1462179e-06]"
TRAIN,Softmax,7,0.0010476686,"[3.8335515e-11 1.5732865e-11 2.8841566e-07 1.7193615e-05 5.2714885e-23
 2.4014835e-04 5.1107641e-08 9.9973065e-01 4.8562626e-10 3.1647902e-13
 8.7474036e-06 2.8902266e-06]"
